episode_index,seed,return,steps,terminated,truncated,final_position,max_position,longest_identical_action_run,longest_run_action,longest_run_start_step,action_0_count,action_1_count,action_2_count
0,20250310,-200.0,200,False,True,-0.6185439825057983,-0.404161661863327,6,2,18,71,65,64
1,20250311,-200.0,200,False,True,-0.4829358458518982,-0.38858312368392944,5,0,79,63,66,71
2,20250312,-200.0,200,False,True,-0.4369249939918518,-0.4191130995750427,5,0,11,57,78,65
3,20250313,-200.0,200,False,True,-0.44958654046058655,-0.4087586998939514,6,1,125,72,59,69
4,20250314,-200.0,200,False,True,-0.5424196124076843,-0.4569132924079895,7,0,168,58,75,67
5,20250315,-200.0,200,False,True,-0.42993006110191345,-0.4099619388580322,8,1,99,56,78,66
6,20250316,-200.0,200,False,True,-0.38162052631378174,-0.33723878860473633,6,0,72,67,64,69
7,20250317,-200.0,200,False,True,-0.5092549324035645,-0.3831403851509094,6,0,59,79,66,55
8,20250318,-200.0,200,False,True,-0.4733581840991974,-0.4111190438270569,4,0,48,75,64,61
9,20250319,-200.0,200,False,True,-0.4952574074268341,-0.42391741275787354,6,0,83,61,76,63
10,20250320,-200.0,200,False,True,-0.4803849756717682,-0.40146180987358093,6,0,125,73,61,66
11,20250321,-200.0,200,False,True,-0.3969719707965851,-0.3969719707965851,7,1,122,66,69,65
12,20250322,-200.0,200,False,True,-0.48906561732292175,-0.24101316928863525,5,2,29,71,66,63
13,20250323,-200.0,200,False,True,-0.4747484624385834,-0.38611117005348206,6,2,39,77,47,76
14,20250324,-200.0,200,False,True,-0.5272254347801208,-0.36977124214172363,6,0,91,63,68,69
15,20250325,-200.0,200,False,True,-0.42961645126342773,-0.410022109746933,6,0,74,70,67,63
16,20250326,-200.0,200,False,True,-0.5020627379417419,-0.3779485523700714,5,1,88,66,63,71
17,20250327,-200.0,200,False,True,-0.42925184965133667,-0.3977002203464508,5,2,162,57,73,70
18,20250328,-200.0,200,False,True,-0.581284761428833,-0.39558544754981995,5,1,106,60,67,73
19,20250329,-200.0,200,False,True,-0.5724026560783386,-0.3410078287124634,5,1,88,69,63,68
20,20250330,-200.0,200,False,True,-0.6296136975288391,-0.3767571449279785,7,1,149,66,68,66
