episode,seed,return,steps,terminated,truncated,epsilon,time
1,30250310,-85.0,85,True,False,0.01,0.005289791966788471
2,30250311,-105.0,105,True,False,0.01,0.0022914999863132834
3,30250312,-108.0,108,True,False,0.01,0.0036674579605460167
4,30250313,-109.0,109,True,False,0.01,0.002964707964565605
5,30250314,-200.0,200,False,True,0.01,0.0043934580171480775
6,30250315,-103.0,103,True,False,0.01,0.0022179170046001673
7,30250316,-91.0,91,True,False,0.01,0.0018947079661302269
8,30250317,-103.0,103,True,False,0.01,0.00222191697685048
9,30250318,-107.0,107,True,False,0.01,0.0023249160149134696
10,30250319,-200.0,200,False,True,0.01,0.004184917022939771
11,30250320,-86.0,86,True,False,0.01,0.0017981669516302645
12,30250321,-107.0,107,True,False,0.01,0.0022402090253308415
13,30250322,-104.0,104,True,False,0.01,0.002212124993093312
14,30250323,-107.0,107,True,False,0.01,0.0022392499959096313
15,30250324,-200.0,200,False,True,0.01,0.004242750001139939
16,30250325,-200.0,200,False,True,0.01,0.004196333000436425
17,30250326,-84.0,84,True,False,0.01,0.001745707995723933
18,30250327,-105.0,105,True,False,0.01,0.002174332970753312
19,30250328,-109.0,109,True,False,0.01,0.0023040830274112523
20,30250329,-107.0,107,True,False,0.01,0.00223145802738145
21,30250330,-106.0,106,True,False,0.01,0.002202417002990842
22,30250331,-109.0,109,True,False,0.01,0.002271917008329183
23,30250332,-200.0,200,False,True,0.01,0.00426866696216166
24,30250333,-109.0,109,True,False,0.01,0.0031718749669380486
25,30250334,-91.0,91,True,False,0.01,0.0019831249956041574
26,30250335,-109.0,109,True,False,0.01,0.002305166970472783
27,30250336,-86.0,86,True,False,0.01,0.001882209035102278
28,30250337,-106.0,106,True,False,0.01,0.002201459021307528
29,30250338,-94.0,94,True,False,0.01,0.001910082995891571
30,30250339,-108.0,108,True,False,0.01,0.002181749965529889
31,30250340,-104.0,104,True,False,0.01,0.002259334025438875
32,30250341,-105.0,105,True,False,0.01,0.002268332988023758
33,30250342,-89.0,89,True,False,0.01,0.0018670829595066607
34,30250343,-89.0,89,True,False,0.01,0.0018394169746898115
35,30250344,-105.0,105,True,False,0.01,0.002211291983257979
36,30250345,-103.0,103,True,False,0.01,0.0021932920208200812
37,30250346,-108.0,108,True,False,0.01,0.002344791020732373
38,30250347,-108.0,108,True,False,0.01,0.0023999169934540987
39,30250348,-107.0,107,True,False,0.01,0.0022932090214453638
40,30250349,-109.0,109,True,False,0.01,0.0022515419987030327
41,30250350,-107.0,107,True,False,0.01,0.0021642500068992376
42,30250351,-86.0,86,True,False,0.01,0.0017259170417673886
43,30250352,-109.0,109,True,False,0.01,0.002209250000305474
44,30250353,-90.0,90,True,False,0.01,0.0018653340521268547
45,30250354,-104.0,104,True,False,0.01,0.0021292910096235573
46,30250355,-105.0,105,True,False,0.01,0.002140292024705559
47,30250356,-84.0,84,True,False,0.01,0.0017508750315755606
48,30250357,-105.0,105,True,False,0.01,0.0021899999701417983
49,30250358,-106.0,106,True,False,0.01,0.002127332962118089
50,30250359,-104.0,104,True,False,0.01,0.0020711670513264835
51,30250360,-109.0,109,True,False,0.01,0.00221670902101323
52,30250361,-103.0,103,True,False,0.01,0.0020903749973513186
53,30250362,-87.0,87,True,False,0.01,0.0017992090433835983
54,30250363,-109.0,109,True,False,0.01,0.002172917011193931
55,30250364,-103.0,103,True,False,0.01,0.0020563749712891877
56,30250365,-107.0,107,True,False,0.01,0.002164083009120077
57,30250366,-105.0,105,True,False,0.01,0.0021359999664127827
58,30250367,-200.0,200,False,True,0.01,0.004110459005460143
59,30250368,-107.0,107,True,False,0.01,0.002192665997426957
60,30250369,-92.0,92,True,False,0.01,0.0018487079651094973
61,30250370,-87.0,87,True,False,0.01,0.0017613749951124191
62,30250371,-200.0,200,False,True,0.01,0.00442008301615715
63,30250372,-90.0,90,True,False,0.01,0.0019441250478848815
64,30250373,-200.0,200,False,True,0.01,0.004175417008809745
65,30250374,-108.0,108,True,False,0.01,0.0022447079536505044
66,30250375,-89.0,89,True,False,0.01,0.0018228329718112946
67,30250376,-104.0,104,True,False,0.01,0.002146334038116038
68,30250377,-107.0,107,True,False,0.01,0.0021922499872744083
69,30250378,-110.0,110,True,False,0.01,0.002436625014524907
70,30250379,-85.0,85,True,False,0.01,0.0018832909991033375
71,30250380,-104.0,104,True,False,0.01,0.0021581670152954757
72,30250381,-103.0,103,True,False,0.01,0.003506208013277501
73,30250382,-104.0,104,True,False,0.01,0.0022951249848119915
74,30250383,-108.0,108,True,False,0.01,0.002276417042594403
75,30250384,-84.0,84,True,False,0.01,0.0017654999974183738
76,30250385,-200.0,200,False,True,0.01,0.004212166997604072
77,30250386,-200.0,200,False,True,0.01,0.0041498750215396285
78,30250387,-104.0,104,True,False,0.01,0.0021596250007860363
79,30250388,-103.0,103,True,False,0.01,0.002149707986973226
80,30250389,-106.0,106,True,False,0.01,0.0021844590082764626
81,30250390,-109.0,109,True,False,0.01,0.002310291980393231
82,30250391,-106.0,106,True,False,0.01,0.002200749993789941
83,30250392,-105.0,105,True,False,0.01,0.0021558330045081675
84,30250393,-103.0,103,True,False,0.01,0.0021003339788876474
85,30250394,-103.0,103,True,False,0.01,0.002101374964695424
86,30250395,-103.0,103,True,False,0.01,0.002121458004694432
87,30250396,-107.0,107,True,False,0.01,0.002193833002820611
88,30250397,-104.0,104,True,False,0.01,0.002135957998689264
89,30250398,-106.0,106,True,False,0.01,0.002192292013205588
90,30250399,-200.0,200,False,True,0.01,0.005094417021609843
91,30250400,-90.0,90,True,False,0.01,0.0019163330434821546
92,30250401,-106.0,106,True,False,0.01,0.0021702919621020555
93,30250402,-104.0,104,True,False,0.01,0.002138832991477102
94,30250403,-106.0,106,True,False,0.01,0.0021877919789403677
95,30250404,-105.0,105,True,False,0.01,0.002166708989534527
96,30250405,-104.0,104,True,False,0.01,0.002197166031692177
97,30250406,-88.0,88,True,False,0.01,0.0018302919925190508
98,30250407,-90.0,90,True,False,0.01,0.0018827500171028078
99,30250408,-105.0,105,True,False,0.01,0.0021907909540459514
100,30250409,-107.0,107,True,False,0.01,0.002232500002719462
