episode,seed,return,steps,terminated,truncated,epsilon,time
1,30250308,-168.0,168,True,False,0.01,0.0037247909931465983
2,30250309,-157.0,157,True,False,0.01,0.001114083977881819
3,30250310,-158.0,158,True,False,0.01,0.0011029159650206566
4,30250311,-197.0,197,True,False,0.01,0.001389209006447345
5,30250312,-193.0,193,True,False,0.01,0.0013282920117489994
6,30250313,-194.0,194,True,False,0.01,0.0014172080554999411
7,30250314,-153.0,153,True,False,0.01,0.0011537079699337482
8,30250315,-161.0,161,True,False,0.01,0.0012091660173609853
9,30250316,-155.0,155,True,False,0.01,0.0011572500225156546
10,30250317,-159.0,159,True,False,0.01,0.0011986669851467013
11,30250318,-200.0,200,False,True,0.01,0.0014667499926872551
12,30250319,-155.0,155,True,False,0.01,0.0011275839642621577
13,30250320,-155.0,155,True,False,0.01,0.0011205420014448464
14,30250321,-129.0,129,True,False,0.01,0.0009569170069880784
15,30250322,-166.0,166,True,False,0.01,0.0014050420140847564
16,30250323,-200.0,200,False,True,0.01,0.001685708004515618
17,30250324,-154.0,154,True,False,0.01,0.0012716249912045896
18,30250325,-155.0,155,True,False,0.01,0.0011642909958027303
19,30250326,-157.0,157,True,False,0.01,0.001083665993064642
20,30250327,-197.0,197,True,False,0.01,0.00135704199783504
21,30250328,-194.0,194,True,False,0.01,0.0013701670104637742
22,30250329,-200.0,200,False,True,0.01,0.0015092919929884374
23,30250330,-200.0,200,False,True,0.01,0.0015624160296283662
24,30250331,-191.0,191,True,False,0.01,0.0015056669944897294
25,30250332,-153.0,153,True,False,0.01,0.0011817909544333816
26,30250333,-200.0,200,False,True,0.01,0.0015103330370038748
27,30250334,-154.0,154,True,False,0.01,0.0011446250136941671
28,30250335,-200.0,200,False,True,0.01,0.0015092079993337393
29,30250336,-155.0,155,True,False,0.01,0.0011515420046634972
30,30250337,-193.0,193,True,False,0.01,0.0014556660316884518
31,30250338,-154.0,154,True,False,0.01,0.001152167038526386
32,30250339,-199.0,199,True,False,0.01,0.0014890420134179294
33,30250340,-165.0,165,True,False,0.01,0.0012261660303920507
34,30250341,-192.0,192,True,False,0.01,0.0014327500248327851
35,30250342,-156.0,156,True,False,0.01,0.0011720830225385725
36,30250343,-157.0,157,True,False,0.01,0.0011781249777413905
37,30250344,-192.0,192,True,False,0.01,0.0014793750015087426
38,30250345,-159.0,159,True,False,0.01,0.001247250009328127
39,30250346,-200.0,200,False,True,0.01,0.001556375005748123
40,30250347,-130.0,130,True,False,0.01,0.0010227499878965318
41,30250348,-193.0,193,True,False,0.01,0.0014663340407423675
42,30250349,-200.0,200,False,True,0.01,0.0015293749747797847
43,30250350,-200.0,200,False,True,0.01,0.0014862919924780726
44,30250351,-155.0,155,True,False,0.01,0.0012171249836683273
45,30250352,-199.0,199,True,False,0.01,0.001608832972124219
46,30250353,-155.0,155,True,False,0.01,0.001263667014427483
47,30250354,-165.0,165,True,False,0.01,0.0013196669751778245
48,30250355,-128.0,128,True,False,0.01,0.0009969579987227917
49,30250356,-157.0,157,True,False,0.01,0.001174125005491078
50,30250357,-200.0,200,False,True,0.01,0.001483250001911074
51,30250358,-200.0,200,False,True,0.01,0.0014778749900870025
52,30250359,-166.0,166,True,False,0.01,0.001288917032070458
53,30250360,-129.0,129,True,False,0.01,0.001008833001833409
54,30250361,-159.0,159,True,False,0.01,0.0012639579945243895
55,30250362,-156.0,156,True,False,0.01,0.0012485419865697622
56,30250363,-128.0,128,True,False,0.01,0.0009930829983204603
57,30250364,-162.0,162,True,False,0.01,0.0012321670074015856
58,30250365,-132.0,132,True,False,0.01,0.0010118749924004078
59,30250366,-192.0,192,True,False,0.01,0.0014600830036215484
60,30250367,-154.0,154,True,False,0.01,0.001186917012091726
61,30250368,-131.0,131,True,False,0.01,0.0010300829890184104
62,30250369,-155.0,155,True,False,0.01,0.0012193750008009374
63,30250370,-156.0,156,True,False,0.01,0.0012094579869881272
64,30250371,-153.0,153,True,False,0.01,0.0012404999579302967
65,30250372,-157.0,157,True,False,0.01,0.0012836669920943677
66,30250373,-153.0,153,True,False,0.01,0.0012646670220419765
67,30250374,-130.0,130,True,False,0.01,0.0010756250121630728
68,30250375,-157.0,157,True,False,0.01,0.0012681249645538628
69,30250376,-162.0,162,True,False,0.01,0.001158999977633357
70,30250377,-200.0,200,False,True,0.01,0.0014541249838657677
71,30250378,-200.0,200,False,True,0.01,0.0014277080190367997
72,30250379,-158.0,158,True,False,0.01,0.0012311669997870922
73,30250380,-163.0,163,True,False,0.01,0.0014143330045044422
74,30250381,-159.0,159,True,False,0.01,0.0014058329979889095
75,30250382,-192.0,192,True,False,0.01,0.0016704589943401515
76,30250383,-128.0,128,True,False,0.01,0.0009009589557535946
77,30250384,-158.0,158,True,False,0.01,0.0010739999706856906
